Fecha,IncrementoM,Muertos,MuertosML,IncrementoC,Confirmados,ConfirmadosD
01/09/2021,32,198.295,6.099.42,415,2.150.006,39.10
02/09/2021,69,198.36,6.101.55,2.112,2.152.118,41.38
03/09/2021,56.00,198.420,6.103.27,974,2.153.092,40.08
04/09/2021,27.00,198.447,6.104.10,1.040,2.154.132,39.67
05/09/2021,41.00,198.49,6.105.36,902.00,2.155.034,39.62
06/09/2021,35.00,198.523,6.106.44,474,2.155.508,41.08
07/09/2021,45.00,198.568,6.107.82,943,2.156.451,39.25
08/09/2021,27.00,198.59,6.108.65,1.085,2.157.536,38.40
09/09/2021,26.00,198.62,6.109.45,957,2.158.493,37.91
10/09/2021,52.00,198.673,6.111.05,813,2.159.306,36.98
11/09/2021,55.00,198.728,6.112.74,1.021,2.160.327,40.12
12/09/2021,36.00,198.76,6.113.85,759,2.161.086,42.45
13/09/2021,35.00,198.799,6.114.93,272,2.161.358,36.19
14/09/2021,41.00,198.84,6.116.19,936,2.162.294,39.07
15/09/2021,20.00,198.860,6.116.80,1018,2.163.312,40.93
16/09/2021,31.00,198.891,6.117.76,1068,2.164.380,37.72
17/09/2021,0.00,198.891,6.117.76,0,2.164.380,34.72
18/09/2021,85.00,198.98,6.120.37,2039,2.166.419,37.79
19/09/2021,90.00,199.07,6.123.14,589,2.167.008,36.83
20/09/2021,30,199.036,6.122.22,644,2.167.652,37.35	
